pwsid,total_violations_12m,total_violations_36m,total_violations_60m,health_based_violations_36m,monitoring_reporting_violations_36m,repeat_violation_count_60m,max_violation_severity,days_since_last_violation,returned_to_compliance_flag,open_violation_flag,violation_trend_direction,compliance_risk_component
OH8704312,0,0,0,0,0,0,0.0,6625.0,False,False,stable_or_none,0.0
OH8730012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730512,0,0,0,0,0,0,0.0,9486.0,False,False,stable_or_none,0.0
OH8730612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8730912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8731012,0,0,0,0,0,0,0.0,12590.0,False,False,stable_or_none,0.0
OH8731112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8731212,0,0,0,0,0,0,0.0,11404.0,False,False,stable_or_none,0.0
OH8731312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8731412,0,0,0,0,0,0,0.0,11221.0,False,False,stable_or_none,0.0
OH8731512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8731612,0,0,0,0,0,0,0.0,5285.0,False,False,stable_or_none,0.0
OH8731712,0,0,0,0,0,0,0.0,12774.0,False,False,stable_or_none,0.0
OH8731812,0,0,0,0,0,0,0.0,12774.0,False,False,stable_or_none,0.0
OH8731912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8732012,0,0,0,0,0,0,0.0,11038.0,False,False,stable_or_none,0.0
OH8732112,0,1,1,0,1,0,55.0,628.0,True,False,increasing,21.75
OH8732212,0,0,0,0,0,0,0.0,4919.0,False,False,stable_or_none,0.0
OH8732312,0,0,0,0,0,0,0.0,10217.0,False,False,stable_or_none,0.0
OH8732412,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8732512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8732612,0,0,0,0,0,0,0.0,12774.0,False,False,stable_or_none,0.0
OH8732712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8732812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8732912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733012,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733312,0,0,0,0,0,0,0.0,8756.0,False,False,stable_or_none,0.0
OH8733412,0,0,0,0,0,0,0.0,2567.0,False,False,stable_or_none,0.0
OH8733512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8733912,0,0,0,0,0,0,0.0,11313.0,False,False,stable_or_none,0.0
OH8734012,0,0,0,0,0,0,0.0,9852.0,False,False,stable_or_none,0.0
OH8734112,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734212,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734312,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734412,0,0,0,0,0,0,0.0,10582.0,False,False,stable_or_none,0.0
OH8734512,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734612,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734712,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734812,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
OH8734912,0,0,0,0,0,0,0.0,,False,False,stable_or_none,0.0
